"id","country","geolocation","level","adm1","location","disastertype","continent"
168,"Madagascar","-21.446951, 47.087214",3,"fianarantsoa","farangana","storm","Africa"
169,"Madagascar","-21.446951, 47.087214",3,"fianarantsoa","vangaidrano","storm","Africa"
170,"Madagascar","-21.446951, 47.087214",3,"fianarantsoa","vondrozo","storm","Africa"
171,"Madagascar","-18.727360, 48.939130",3,"antsiranana","andapa","storm","Africa"
172,"Madagascar","-12.289318, 49.293052",3,"antsiranana","antalaha","storm","Africa"
173,"Madagascar","-18.908484, 47.537513",3,"antananarivo","ambatolampy","storm","Africa"
174,"Madagascar","-18.727360, 48.939130",3,"antsiranana","andapa","storm","Africa"
175,"Madagascar","-12.289318, 49.293052",3,"antsiranana","antalaha","storm","Africa"
176,"Madagascar","-18.933540, 47.680531",3,"antananarivo","avaradrano","storm","Africa"
177,"Madagascar","-18.908484, 47.537513",3,"antananarivo","antanifotsy","storm","Africa"
178,"Madagascar","-18.908484, 47.537513",3,"antananarivo","antsirabell","storm","Africa"
179,"Madagascar","-23.350000, 43.666670",3,"toliary","mahabo","storm","Africa"
180,"Madagascar","-17.724600, 49.234940",3,"toamasina","mahanoro","storm","Africa"
181,"Madagascar","-18.920748, 47.810658",3,"antananarivo","manjakandriana","storm","Africa"
182,"Madagascar","-17.983330, 49.300000",3,"toamasina","antanambao","storm","Africa"
183,"Madagascar","-20.296731, 44.281396",3,"toliary","morondava","storm","Africa"
184,"Madagascar","-19.359829, 48.777996",3,"toamasina","vatomandry","storm","Africa"
185,"Madagascar","-18.727360, 48.939130",3,"antsiranana","andapa","storm","Africa"
186,"Madagascar","-12.289318, 49.293052",3,"antsiranana","antalaha","storm","Africa"
187,"Madagascar","-15.709748, 46.316553",3,"mahajanga","bealanana","storm","Africa"
188,"Madagascar","-12.289318, 49.293052",3,"antsiranana","ambilobe","storm","Africa"
189,"Madagascar","-18.149200, 49.402340",3,"toamasina","fenerive east","storm","Africa"
190,"Madagascar","-15.430878, 49.758271",3,"toamasina","maroantsetra","storm","Africa"
191,"Madagascar","-12.289318, 49.293052",3,"antsiranana","nosy be","storm","Africa"
192,"Madagascar","-19.359829, 48.777996",3,"toamasina","vatomandry","storm","Africa"
193,"Madagascar","-12.289318, 49.293052",3,"antsiranana","ambajana","storm","Africa"
194,"Madagascar","-12.289318, 49.293052",3,"antsiranana","ambilobe","storm","Africa"
